scenario_id,model_version,scenario,annual_benefit_chf,annual_run_cost_chf,one_time_cost_chf,tco_3yr_chf,gross_benefit_3yr_chf,net_value_3yr_chf,roi_3yr_pct,payback_months
SC-V1-BASE,v1.0.1,Base ROM,3820000,1250000,1300000,5050000,11460000,6410000,127,6.1
SC-V1-CONS,v1.0.1,Conservative,2600000,1320000,1300000,5260000,7800000,2540000,48,
SC-V1-UP,v1.0.1,Upside,5000000,1230000,1300000,4990000,15000000,10010000,201,
SC-V2-CONS,v2.0.0,Conservative,2600000,1320000,900000,4860000,7800000,2940000,60,8.4
SC-V2-BASE,v2.0.0,Base (Frontier-informed),3820000,1250000,780000,4530000,11460000,6930000,153,3.6
SC-V2-UP,v2.0.0,Upside,5000000,1230000,700000,4390000,15000000,10610000,242,2.2
